,inscricao,ano,municipio_residencia,uf_residencia,idade,sexo,estado_civil,raca,gestante,municipio_prova,uf_prova,nota_ciencias_da_naturaza,nota_ciencias_humanas,nota_linguagens_e_codigos,nota_matematica,nota_redacao,questionario_pai,questionario_mae
18,e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba,2016,Bragança,PA,20,M,Não informado,Parda,Não,Bragança,PA,395.5,425.2,569.5,475.8,520.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
19,fa8d39d295f07f351cbff175dcfe01a4cbb49ca3,2016,Ipatinga,MG,21,F,Solteiro(a),Parda,Não,Ipatinga,MG,393.3,429.6,0.0,0.0,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Completou a Pós-graduação.
20,bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b,2016,São Gonçalo do Sapucaí,MG,18,F,Não informado,Branca,Não,São Gonçalo do Sapucaí,MG,471.9,628.0,588.2,518.0,780.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",Não completou a 4ª série/5º ano do Ensino Fundamental.
21,5458db66588b99384d711f24a5e77d2befb2bec9,2016,Brasília,DF,24,M,Não informado,Parda,Não,Brasília,DF,0.0,0.0,0.0,0.0,0.0,Não sei.,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
22,f2dda998a10d8f259dec0018a0a0aefafb66dcf7,2016,Sant'Ana do Livramento,RS,24,M,Não informado,Branca,Não,Sant'Ana do Livramento,RS,0.0,0.0,0.0,0.0,0.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou o Ensino Médio, mas não completou a Faculdade."
23,fe981a60436f1d9e533a28c67dd66c72290ce7c7,2016,Araruna,PR,17,F,Não informado,Parda,Não,Campo Mourão,PR,0.0,0.0,0.0,0.0,0.0,Não sei.,Não completou a 4ª série/5º ano do Ensino Fundamental.
24,f08085c95978cded4e8009e734772d2889c6ab1d,2016,Alfenas,MG,30,F,Solteiro(a),Branca,Não,Areado,MG,0.0,0.0,0.0,0.0,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
25,2600ee9cbb63e8dc65423f18d2f33c8ad198edfe,2016,Montes Claros,MG,18,F,Não informado,Parda,Não,Montes Claros,MG,484.8,485.3,559.1,475.3,500.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
26,75182e8460c3cae7808fbe4c3475c15e232327dd,2016,Itaguari,GO,22,M,Não informado,Parda,Não,Itaberaí,GO,0.0,0.0,0.0,0.0,0.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
27,9f1f0f639f56faed5cdb4db727692f9a49f7818b,2016,Serra,ES,19,M,Não informado,Parda,Não,Serra,ES,473.2,439.1,472.8,430.8,400.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
28,45837167deb9a4e1969d5d9bdb31e8bfe7c94017,2016,São Paulo,SP,19,F,Não informado,Parda,Não,São Paulo,SP,390.4,521.3,522.5,377.3,440.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
29,e1268d2857278d8ec8055524bc29cc16b5c4174f,2016,Guarapuava,PR,21,M,Solteiro(a),Parda,Não,Guarapuava,PR,475.8,530.0,483.1,467.3,520.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
30,b6b8661c6a0867a13e83b584a0468d5e05804128,2016,São Luís,MA,21,F,Não informado,Parda,Não,São Luís,MA,413.6,522.3,530.1,553.9,780.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
31,3982766156703660bd7c9662b663d250a68f2734,2016,Petrolina,PE,17,F,Não informado,Parda,Não,Petrolina,PE,510.0,560.2,424.6,394.0,720.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
32,b82b9c8e6d995692aedfad5a31c0c14cfcf108f1,2016,Fortim,CE,19,M,Não informado,Branca,Não,Aracati,CE,440.0,477.2,470.5,415.5,600.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
33,3b096a7385fbcd24adb5e622db6ec33ad81b711c,2016,Rio de Janeiro,RJ,17,F,Não informado,Parda,Não,Chapadinha,MA,430.6,544.2,402.9,427.3,620.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
34,ab01ff1e35bb088cda3ccb34ee11e718cf49961c,2016,Arujá,SP,24,F,Não informado,Preta,Não,Arujá,SP,449.7,485.0,518.5,508.0,520.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
35,91720b5fe48f70c5f4b21231f265badbb7965923,2016,Parintins,AM,17,F,Não informado,Parda,Não,Parintins,AM,465.7,559.7,542.5,563.6,760.0,Nunca estudou,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
36,3f910c1717d215698a89b7774fae6aae9ce80a9b,2016,Pelotas,RS,18,F,Não informado,Branca,Não,Pelotas,RS,477.3,554.3,441.9,383.2,420.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a Faculdade, mas não completou a Pós-graduação."
37,51e2e191d63c9ce01f2474dfef6867d39bde0e22,2016,Salto,SP,17,F,Não informado,Parda,Não,Salto,SP,0.0,0.0,0.0,0.0,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
38,160449496c59d74d6efaed45b00fd1802d7b8fe0,2016,Aurelino Leal,BA,15,M,Não informado,Parda,Não,Ubaitaba,BA,467.8,512.9,452.4,470.0,600.0,"Completou o Ensino Médio, mas não completou a Faculdade.",Completou a Pós-graduação.
39,5c90f15a173eb63ffaff1dda01bb41959cea8ade,2016,Cuiabá,MT,18,F,Não informado,Parda,Não,Cuiabá,MT,407.8,559.8,479.3,435.4,640.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou o Ensino Médio, mas não completou a Faculdade."
40,642546ecc2ac60f7533a50e51b3ced50d438fa2a,2016,Contagem,MG,24,F,Não informado,Parda,Não,Betim,MG,401.4,506.9,518.0,373.9,600.0,Não sei.,"Completou o Ensino Médio, mas não completou a Faculdade."
41,bcca1cc0d5b3005d943cd206eb899d1b0470d118,2016,Florianópolis,SC,17,M,Não informado,Branca,Não,Porto Alegre,RS,448.9,639.2,604.4,542.4,720.0,"Completou o Ensino Médio, mas não completou a Faculdade.",Completou a Pós-graduação.
42,80657dbe741b33c3b8aa6627ff05d721fc473535,2016,Manaus,AM,18,F,Não informado,Parda,Não,Manaus,AM,373.4,518.4,521.8,405.7,480.0,Não sei.,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
43,c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3,2016,Pocrane,MG,18,M,Não informado,Branca,Não,Aimorés,MG,560.8,586.9,623.0,555.6,620.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
44,ce018e1ed8c91f329f952c59abec1059d15544fc,2016,Santa Terezinha de Itaipu,PR,16,M,Não informado,Branca,Não,Santa Terezinha de Itaipu,PR,593.9,549.4,603.1,539.7,480.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
45,15fb3ba785590aea2be363ee1b189f1e0c38d168,2016,Itapetinga,BA,16,F,Não informado,Preta,Não,Itapetinga,BA,498.2,619.9,515.7,390.3,620.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade."
46,36c49582ac87ab0169f57407a7030d012e19db0f,2016,Timon,MA,18,F,Não informado,Branca,Não,Timon,MA,461.4,587.4,578.4,423.5,620.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a Faculdade, mas não completou a Pós-graduação."
47,272b3de95fdc0983aa22bd9cffa178a3a362ae43,2016,Teresina,PI,19,F,Não informado,Parda,Não,Teresina,PI,524.5,581.0,586.5,471.1,600.0,Não sei.,"Completou o Ensino Médio, mas não completou a Faculdade."
48,0a90fb44346e04615bc4879b2769751e65740f7e,2016,Natividade,TO,21,M,Não informado,Preta,Não,Natividade,TO,412.6,396.3,443.2,354.6,320.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",Completou a Pós-graduação.
49,45baf0018e09111593b980febba5122c6045203b,2016,Garanhuns,PE,19,M,Não informado,Branca,Não,Garanhuns,PE,366.7,424.2,450.4,345.7,380.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
50,1495c703543bb33d4b2a3a38075e9102541d872d,2016,Fortaleza,CE,18,F,Não informado,Preta,Não,Fortaleza,CE,440.3,493.9,536.4,443.8,420.0,Não sei.,Não sei.
51,31640380bd530bb03092038113931fe88235552d,2016,Pontes e Lacerda,MT,18,F,Não informado,Parda,Não,Pontes e Lacerda,MT,0.0,0.0,0.0,0.0,0.0,"Completou o Ensino Médio, mas não completou a Faculdade.",Completou a Pós-graduação.
52,99b9a595ef66afd906ff6cc1924b8aec91d569ac,2016,Cotia,SP,18,F,Não informado,Branca,Não,Cotia,SP,377.9,527.3,493.6,629.3,460.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade."
53,89b718d7a23461843c46a4e7e3b44bda0b0152bf,2016,Planaltina,GO,21,M,Não informado,Parda,Não,Planaltina,GO,595.1,565.7,577.4,393.6,560.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou o Ensino Médio, mas não completou a Faculdade."
54,2811fcc8205f513d44f523a753e74e6cc593a4f9,2016,Nova Lima,MG,18,M,Não informado,Parda,Não,Nova Lima,MG,561.1,610.8,607.5,708.5,520.0,"Completou a Faculdade, mas não completou a Pós-graduação.","Completou a Faculdade, mas não completou a Pós-graduação."
55,777bd9bcb30c7af5ee67f98072e572a304ad0042,2016,Fortaleza,CE,40,M,Não informado,Parda,Não,Fortaleza,CE,0.0,0.0,0.0,0.0,0.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
56,9061a9d12293f7a706455370a3c7db1093a86775,2016,Santarém,PA,20,M,Não informado,Parda,Não,Santarém,PA,384.5,512.4,527.4,371.8,560.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
57,74106591d629e3d8bae3a811a6340f7e31f56ff0,2016,Esperantina,PI,19,F,Solteiro(a),Parda,Não,Esperantina,PI,419.9,467.9,387.4,378.7,600.0,Não sei.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
58,2c28ebcabc43052f3029141fa6bec9bdef65dae6,2016,Joanópolis,SP,18,F,Não informado,Branca,Não,Atibaia,SP,460.9,468.0,516.4,468.5,640.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
59,ccb11e219efb77f2d1f773e490e18204b743c531,2016,Joinville,SC,25,M,Não informado,Parda,Não,Joinville,SC,0.0,0.0,0.0,0.0,0.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
60,b7c29a61f67a7b11a811dd41db7f6cc18cee1082,2016,Curitiba,PR,19,F,Não informado,Branca,Não,Curitiba,PR,596.2,610.4,562.7,728.3,780.0,Completou a Pós-graduação.,"Completou a Faculdade, mas não completou a Pós-graduação."
61,546520198f2a8f443f61687181896c7a91614265,2016,Goianésia,GO,17,M,Não informado,Parda,Não,Goianésia,GO,443.8,470.9,503.5,434.2,360.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade."
62,00fad6ffd37a5fcd02b67623b5141406caf0ffc0,2016,Piquet Carneiro,CE,16,F,Não informado,Branca,Não,Mombaça,CE,493.5,504.1,431.9,414.1,500.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
63,3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00,2016,Rio de Janeiro,RJ,18,M,Não informado,Preta,Não,Rio de Janeiro,RJ,482.2,590.8,604.4,457.8,360.0,Não sei.,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
64,79596e863089f8b7f26b24ea161920750fb9ad98,2016,Campo Grande,MS,27,F,Solteiro(a),Preta,Não,Campo Grande,MS,0.0,0.0,0.0,0.0,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Completou a Pós-graduação.
65,42c347cc2d5a972008ab3fef158bec426fc32d22,2016,Ananindeua,PA,16,F,Não informado,Parda,Não,Ananindeua,PA,446.0,518.9,530.2,370.8,640.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade."
66,1184e759ab3abac459311e19e2d4f1773bf1bd41,2016,Nova Iguaçu,RJ,16,F,Não informado,Preta,Não,Seropédica,RJ,437.3,449.1,521.7,412.4,500.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
67,f102d2cce60240d7c8cc8dcd7e819b81ed724c14,2016,Nova Iguaçu,RJ,20,F,Não informado,Parda,Não,Rio de Janeiro,RJ,0.0,0.0,0.0,0.0,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou o Ensino Médio, mas não completou a Faculdade."
68,d11f15d217391ddc98d0007cabc4c21f9438b55b,2016,Salto,SP,17,F,Não informado,Preta,Não,Salto,SP,434.9,475.2,546.8,355.6,580.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
69,75863688688db57afb85d45f3a0f8359b4a3f256,2016,Santana,AP,23,M,Solteiro(a),Parda,Não,Santana,AP,438.4,441.4,507.0,401.6,440.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
70,84d341e1ac9c010aa58f782766258ef3f097a6b7,2016,Mauá,SP,18,M,Não informado,Parda,Não,Mauá,SP,367.1,526.4,532.0,492.8,600.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
71,c0971b9328ab9ffaf2054856c98080d6070541ae,2016,Campos dos Goytacazes,RJ,22,F,Solteiro(a),Preta,Não,Campos dos Goytacazes,RJ,393.9,492.3,517.3,407.6,420.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou o Ensino Médio, mas não completou a Faculdade."
72,a10aff56c82f1bcb0a43c0aca5061901f21a4dac,2016,Caldas Novas,GO,16,F,Não informado,Branca,Não,Caldas Novas,GO,414.3,534.0,524.5,513.0,600.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
73,a6905d20876982ff0006a442533a58cbb39da4c5,2016,Santarém,PA,27,M,Não informado,Parda,Não,Santarém,PA,477.9,484.2,489.7,604.9,500.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
74,48e9256e4da87667fae37924792e56e197a4dd88,2016,Betim,MG,37,F,Solteiro(a),Branca,Não,Betim,MG,494.1,587.5,546.6,495.3,540.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
75,ad810c209e89e9b5e2080eefead70a0f0027c30c,2016,Ubajara,CE,17,M,Não informado,Parda,Não,Ubajara,CE,391.1,570.4,511.2,397.3,360.0,Não sei.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
76,b77d99ff8ee7781a40175b2e1e4dc011e63f1920,2016,Paty do Alferes,RJ,18,F,Não informado,Branca,Não,Miguel Pereira,RJ,405.7,476.4,464.7,344.1,400.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou o Ensino Médio, mas não completou a Faculdade."
77,231c9a3c08249643f87ed59301e84e7605b2176f,2016,Maracanaú,CE,17,M,Não informado,Parda,Não,Maracanaú,CE,443.0,521.8,526.0,397.0,540.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade."
78,dcdfc953208fe59ec5bd9288d5be4fa3300deb89,2016,Nilópolis,RJ,28,M,Não informado,Parda,Não,Nilópolis,RJ,0.0,0.0,0.0,0.0,0.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a Faculdade, mas não completou a Pós-graduação."
79,4e1c0573b418b839469dab13754968982db53a10,2016,Campo Novo do Parecis,MT,23,F,Não informado,Amarela,Não,Campo Novo do Parecis,MT,0.0,0.0,0.0,0.0,0.0,Nunca estudou,Não completou a 4ª série/5º ano do Ensino Fundamental.
80,129d6daf0892c79c68c98ea20f8197645b21b221,2016,Porto Nacional,TO,18,F,Não informado,Parda,Não,Porto Nacional,TO,444.3,509.1,530.1,488.3,540.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade."
81,626eabd333cba14cb6c0c17b13cc2ab36f9070b4,2016,Naviraí,MS,22,M,Não informado,Amarela,Não,Naviraí,MS,0.0,0.0,0.0,0.0,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
82,d1aba323399aba7434327ab725bbc2d5682316bf,2016,Caxambu,MG,37,F,Casado(a)/Mora com companheiro(a),Parda,Não,Caxambu,MG,401.8,487.6,444.6,363.1,560.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
83,6ce27caca885b1a612477f606ac8d4e98b90d8e5,2016,Cabedelo,PB,17,M,Não informado,Parda,Não,Cabedelo,PB,0.0,0.0,0.0,0.0,0.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
84,272ee225651d10cf558d114ce37c5189da942a62,2016,Brasília,DF,21,F,Solteiro(a),Parda,Não,Brasília,DF,457.0,538.6,555.2,418.0,660.0,Nunca estudou,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
85,4d288c96983da75bb8c3983063becbdb867ace89,2016,Piripiri,PI,32,M,Solteiro(a),Parda,Não,Piripiri,PI,475.7,547.4,483.5,503.0,520.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
86,247c20a9befc204fb261300c33ea0cef3f1d0b7d,2016,Gurupi,TO,17,F,Não informado,Parda,Não,Gurupi,TO,459.2,505.6,456.0,507.8,320.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
87,67a6a095cbc03868169ce24cd9f956d3b7d4d7de,2016,Domingos Martins,ES,38,F,Solteiro(a),Branca,Não,Domingos Martins,ES,0.0,0.0,0.0,0.0,0.0,"Completou a Faculdade, mas não completou a Pós-graduação.","Completou o Ensino Médio, mas não completou a Faculdade."
88,6169fb11c0c3d6cc7b51edc48b068f948389c40b,2016,Camaçari,BA,18,F,Não informado,Parda,Não,Camaçari,BA,382.4,368.3,482.0,392.4,520.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
89,4ee9f9a4b868e701463ca030c0659e2e7935ffcf,2016,João Pessoa,PB,25,F,Não informado,Preta,Não,João Pessoa,PB,0.0,0.0,0.0,0.0,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
90,bad54913c91cb3f2993dea3652a90be28570a247,2016,Rondonópolis,MT,30,F,Não informado,Branca,Não,Rondonópolis,MT,460.7,505.8,448.2,351.3,0.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.
91,473fac1a473fc1acbb11e9602f39b135a3c9d9aa,2016,Ilhéus,BA,18,M,Não informado,Parda,Não,Ilhéus,BA,462.8,524.6,498.6,418.9,520.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
92,28d46528baddeda8c5c1951536a238d791cfa9f8,2016,Guaiúba,CE,18,M,Não informado,Parda,Não,Pacatuba,CE,431.1,431.7,467.8,413.0,0.0,Não sei.,Não sei.
